eas baseid,cnn,address,zipcode,longitude,latitude,assemdist,bartdist,congdist,nhood,prec_2010,prec_2012,supdist,tractce10,number,number suffix,street,type
357786,9107000,1375 MISSION ST,94103,-122.41536751,37.77536775,17,9,12,South of Market,3624,7619,6,017601,1375,,MISSION,ST
357790,9108000,1415 MISSION ST,94103,-122.41591982,37.77490763,17,9,12,South of Market,3624,7619,6,017601,1415,,MISSION,ST
357955,512000,216 11TH ST,94103,-122.4154852,37.77268639,17,9,12,Mission,3634,7628,6,017700,216,,11TH,ST
419404,6120000,150 GELLERT DR,94132,-122.49281163,37.73104571,19,8,14,Sunset/Parkside,2729,9724,7,033100,150,,GELLERT,DR
276620,8449000,1071 LOMBARD ST,94109,-122.41911959,37.80165683,17,8,12,Russian Hill,3306,7205,2,010200,1071,,LOMBARD,ST
277286,8151000,2340 LARKIN ST,94109,-122.42046298,37.79961506,17,8,12,Russian Hill,3221,7204,2,010900,2340,,LARKIN,ST
280994,10474000,1225 PINE ST,94109,-122.41601542,37.78990789,17,9,12,Nob Hill,3342,7342,3,011100,1225,,PINE,ST
281558,6111000,491 GEARY ST,94102,-122.41110547,37.78670601,17,9,12,Tenderloin,3347,7348,3,012301,491,,GEARY,ST
284130,5517000,1772 FILBERT ST,94123,-122.42866366,37.79910625,19,8,12,Marina,3218,9218,2,012902,1772,,FILBERT,ST
284131,5517000,1780 FILBERT ST,94123,-122.42877002,37.7991122,19,8,12,Marina,3218,9218,2,012902,1780,,FILBERT,ST
284201,6511000,1555 GREENWICH ST,94123,-122.42534254,37.80000557,19,8,12,Marina,3219,9219,2,012902,1555,,GREENWICH,ST
305092,1844000,445 38TH AVE,94121,-122.49906778,37.78052522,19,8,12,Outer Richmond,2101,9102,1,047902,445,,38TH,AVE
305093,1845000,447 38TH AVE,94121,-122.49906278,37.78045667,19,8,12,Outer Richmond,2101,9102,1,047902,447,,38TH,AVE
305096,1845000,465 38TH AVE,94121,-122.49904282,37.7801825,19,8,12,Outer Richmond,2101,9102,1,047902,465,,38TH,AVE
305097,1846000,467 38TH AVE,94121,-122.49903783,37.78011395,19,8,12,Outer Richmond,2101,9102,1,047902,467,,38TH,AVE
305098,1846000,471 38TH AVE,94121,-122.49903284,37.78004541,19,8,12,Outer Richmond,2101,9102,1,047902,471,,38TH,AVE
305345,1992000,430 45TH AVE,94121,-122.50593023,37.78042769,19,8,12,Outer Richmond,2101,9101,1,047902,430,,45TH,AVE
419405,6120000,140 GELLERT DR,94132,-122.49282223,37.73119654,19,8,14,Sunset/Parkside,2729,9724,7,033100,140,,GELLERT,DR
419406,6120000,130 GELLERT DR,94132,-122.49283283,37.73134737,19,8,14,Sunset/Parkside,2729,9724,7,033100,130,,GELLERT,DR
419407,6120000,120 GELLERT DR,94132,-122.49284344,37.7314982,19,8,14,Sunset/Parkside,2729,9724,7,033100,120,,GELLERT,DR
419408,6120000,110 GELLERT DR,94132,-122.49285404,37.73164903,19,8,14,Sunset/Parkside,2729,9724,7,033100,110,,GELLERT,DR
419410,9869000,4501 OCEAN AVE,94132,-122.49168705,37.73184367,19,8,14,Sunset/Parkside,2729,9724,7,033100,4501,,OCEAN,AVE
419449,9379000,150 MORNINGSIDE DR,94132,-122.49196698,37.73118105,19,8,14,Sunset/Parkside,2729,9724,7,033100,150,,MORNINGSIDE,DR
