eas baseid,cnn,address,zipcode,longitude,latitude,assemdist,bartdist,congdist,nhood,prec_2010,prec_2012,supdist,tractce10,number,number suffix,street,type
305541,2037000,539 47TH AVE,94121,-122.50856513,37.77814759,19,8,12,Outer Richmond,2118,9117,1,047902,539,,47TH,AVE
305542,2037000,545 47TH AVE,94121,-122.50855953,37.77807082,19,8,12,Outer Richmond,2118,9117,1,047902,545,,47TH,AVE
305543,2037000,549 47TH AVE,94121,-122.50855373,37.77799131,19,8,12,Outer Richmond,2118,9117,1,047902,549,,47TH,AVE
305546,2037000,563 47TH AVE,94121,-122.50853759,37.77777002,19,8,12,Outer Richmond,2118,9117,1,047902,563,,47TH,AVE
305557,2363000,5630 ANZA ST,94121,-122.50875391,37.77731317,19,8,12,Outer Richmond,2118,9117,1,047902,5630,,ANZA,ST
419512,12055000,111 SPRINGFIELD DR,94132,-122.48827959,37.7319036,19,8,14,Sunset/Parkside,2729,9724,7,033100,111,,SPRINGFIELD,DR
419513,12055000,119 SPRINGFIELD DR,94132,-122.48827362,37.7318131,19,8,14,Sunset/Parkside,2729,9724,7,033100,119,,SPRINGFIELD,DR
419514,12055000,127 SPRINGFIELD DR,94132,-122.48826765,37.73172259,19,8,14,Sunset/Parkside,2729,9724,7,033100,127,,SPRINGFIELD,DR
485382,9123000,2560 MISSION ST,94110,,,,,,,,,,,2560,,MISSION,ST
485383,9123000,2564 MISSION ST,94110,,,,,,,,,,,2564,,MISSION,ST
485384,9123000,2568 MISSION ST,94110,,,,,,,,,,,2568,,MISSION,ST
274500,2777000,515 BAY ST,94133,-122.41563458,37.80524164,17,8,12,North Beach,3301,7301,3,010100,515,,BAY,ST
276848,6491000,480 GREENWICH ST,94133,-122.40779358,37.80268982,17,8,12,North Beach,3304,7305,3,010400,480,,GREENWICH,ST
279720,7385000,959 JACKSON ST,94108,-122.41078539,37.79524589,17,8,12,Chinatown,3325,7326,3,011300,959,,JACKSON,ST
284335,5835000,2635 FRANKLIN ST,94123,-122.42601712,37.79877731,19,8,12,Marina,3228,9225,2,013000,2635,,FRANKLIN,ST
284336,5835000,2655 FRANKLIN ST,94123,-122.42605634,37.79901569,19,8,12,Marina,3228,9225,2,013000,2655,,FRANKLIN,ST
284355,6347000,2750 GOUGH ST,94123,-122.42710937,37.79881714,19,8,12,Marina,3228,9225,2,013000,2750,,GOUGH,ST
305791,1928000,547 42ND AVE,94121,-122.5032063,37.77828272,19,8,12,Outer Richmond,2121,9118,1,047902,547,,42ND,AVE
306063,1847000,540 38TH AVE,94121,-122.49827898,37.77871961,19,8,12,Outer Richmond,2121,9118,1,047802,540,,38TH,AVE
306069,6094101,7327 GEARY BLVD,94121,-122.49810448,37.7791737,19,8,12,Outer Richmond,2121,9118,1,047802,7327,,GEARY,BLVD
306070,6094101,7321 GEARY BLVD,94121,-122.49801812,37.77917763,19,8,12,Outer Richmond,2121,9118,1,047802,7321,,GEARY,BLVD
421488,3155002,730 BROADWAY,94133,-122.4091949,37.79779624,17,8,12,Chinatown,3317,7314,3,010700,730,,BROADWAY,
478113,13143103,77 VAN NESS AVE,94102,-122.41968518,37.77609727,17,9,12,Hayes Valley,3545,7545,5,016200,77,,VAN NESS,AVE
479286,9753000,353 OAK ST,94102,-122.42505581,37.77449913,17,9,12,Hayes Valley,3544,7544,5,016802,353,,OAK,ST
466168,9753000,357 OAK ST,94102,-122.42505581,37.77449913,17,9,12,Hayes Valley,3544,7544,5,016802,357,,OAK,ST
288448,6558000,554 GROVE ST,94102,-122.42575718,37.77766415,17,9,12,Hayes Valley,3523,7515,5,016200,554,,GROVE,ST
274720,6558000,564 GROVE ST,94102,-122.42597394,37.77772096,17,9,12,Hayes Valley,3523,7515,5,016200,564,,GROVE,ST
307672,243000,527 04TH AVE,94118,-122.46229088,37.77862614,19,8,12,Inner Richmond,2131,9132,1,045100,527,,04TH,AVE
