address,address number,street name,street type,zipcode,latitude,longitude
PIER 39,39,THE EMBARCADERO,,94113,37.808673,-122.412015
PIER 35,35,THE EMBARCADERO,,94113,37.807037,-122.4095689
PIER 33,33,THE EMBARCADERO,,94113,37.8067889,-122.4065443
